# Componentwise physical Kelvin-Voigt MMS errors
# generated_utc=2026-08-01T15:55:26.463
# julia_version=1.11.6
# trixi_commit=b5b1747b7a9f0a0fc34452d4222d35b0a26ac943
# trixi_worktree=clean
# julia_threads=1
# command=degree-split clean convergence campaign assembled without altering numerical rows
# elixir=/home/sundriyal/Projects/Trixi-damped-clean/examples/damped_intrinsic_beam/elixir_mms_rich_physical.jl
# rich_mms_lambda=2.0
# rich_mms_profile=exp1
# polydegs=1,2,3
# refinement_levels=2,3,4,5,6,7
# sigmas=1.0
# auxiliary_fluxes=alternating,br1
# rock4_abstol_reltol=1.0e-12
polydeg,refinement_level,ncells,h,hyperbolic_flux,auxiliary_flux,component_index,block,component,l2_error,l2_eoc,linf_error,linf_eoc
2,2,4,2.5000000000000000e-01,upwind,alternating,11,u2,m2,1.0202489992318115e-03,NaN,4.1730873450939177e-03,NaN
2,2,4,2.5000000000000000e-01,upwind,alternating,12,u2,m3,1.2382904579137414e-03,NaN,4.1210717885611370e-03,NaN
2,3,8,1.2500000000000000e-01,upwind,alternating,1,u1,v1,3.4361281210091714e-04,3.47585588,1.1576444270176012e-03,3.15957752
2,3,8,1.2500000000000000e-01,upwind,alternating,2,u1,v2,3.5315560525010699e-04,2.16580538,1.2999740996768594e-03,1.85055358
2,3,8,1.2500000000000000e-01,upwind,alternating,3,u1,v3,7.9364762794871676e-04,3.40731582,2.9083905381099839e-03,3.03304134
2,3,8,1.2500000000000000e-01,upwind,alternating,4,u1,omega1,2.4724343062080444e-04,3.51094614,7.8891480079157361e-04,3.35799442
2,3,8,1.2500000000000000e-01,upwind,alternating,5,u1,omega2,8.5009386403204557e-05,3.65785177,4.6473613299458094e-04,3.59986914
2,3,8,1.2500000000000000e-01,upwind,alternating,6,u1,omega3,3.2000747621679395e-04,3.34420338,1.4663348347898619e-03,3.15897285
2,3,8,1.2500000000000000e-01,upwind,alternating,7,u2,f1,4.6851861405835052e-04,3.14233907,1.5935153208559427e-03,2.47883035
2,3,8,1.2500000000000000e-01,upwind,alternating,8,u2,f2,8.7727889231035787e-04,2.80861760,2.6520343237335098e-03,3.19221416
2,3,8,1.2500000000000000e-01,upwind,alternating,9,u2,f3,4.9742000107693047e-04,2.79179116,1.5252305152542167e-03,2.38199686
2,3,8,1.2500000000000000e-01,upwind,alternating,10,u2,m1,2.4084758537504697e-04,3.02610788,1.0552876271719969e-03,2.66846965
2,3,8,1.2500000000000000e-01,upwind,alternating,11,u2,m2,1.3081306940747130e-04,2.96334270,7.0850660143584321e-04,2.55826192
2,3,8,1.2500000000000000e-01,upwind,alternating,12,u2,m3,1.6773489941703079e-04,2.88409496,6.1765586839657161e-04,2.73814444
2,4,16,6.2500000000000000e-02,upwind,alternating,1,u1,v1,2.5491158948019061e-05,3.75271496,8.5831087545784612e-05,3.75354811
